date,time,close,atm_strike,month
12-11-2024,10:15:00,24163.65,24150,November
12-11-2024,10:30:00,24194.4,24200,November
12-11-2024,10:45:00,24107.0,24100,November
12-11-2024,11:00:00,24151.6,24150,November
12-11-2024,11:15:00,24139.3,24150,November
12-11-2024,11:30:00,24137.8,24150,November
12-11-2024,11:45:00,24128.45,24150,November
12-11-2024,12:00:00,24129.55,24150,November
12-11-2024,12:15:00,24118.25,24100,November
12-11-2024,12:30:00,24108.2,24100,November
12-11-2024,12:45:00,24049.15,24050,November
12-11-2024,13:00:00,24003.65,24000,November
12-11-2024,13:15:00,23993.7,24000,November
12-11-2024,13:30:00,23964.85,23950,November
12-11-2024,13:45:00,23939.6,23950,November
12-11-2024,14:00:00,23943.7,23950,November
12-11-2024,14:15:00,23936.25,23950,November
12-11-2024,14:30:00,23943.9,23950,November
12-11-2024,14:45:00,23950.75,23950,November
13-11-2024,09:45:00,23752.2,23750,November
13-11-2024,10:00:00,23784.9,23800,November
13-11-2024,10:15:00,23682.95,23700,November
13-11-2024,10:30:00,23738.6,23750,November
13-11-2024,10:45:00,23712.3,23700,November
13-11-2024,11:00:00,23739.0,23750,November
13-11-2024,11:15:00,23714.55,23700,November
13-11-2024,11:30:00,23704.95,23700,November
13-11-2024,11:45:00,23695.6,23700,November
13-11-2024,12:00:00,23725.55,23750,November
13-11-2024,12:15:00,23688.45,23700,November
13-11-2024,12:30:00,23692.2,23700,November
13-11-2024,12:45:00,23682.55,23700,November
13-11-2024,13:00:00,23654.45,23650,November
13-11-2024,13:15:00,23661.65,23650,November
13-11-2024,13:30:00,23648.4,23650,November
13-11-2024,13:45:00,23701.95,23700,November
13-11-2024,14:00:00,23705.75,23700,November
13-11-2024,14:15:00,23652.05,23650,November
13-11-2024,14:30:00,23591.2,23600,November
13-11-2024,14:45:00,23551.2,23550,November
14-11-2024,09:45:00,23574.45,23550,November
14-11-2024,10:00:00,23641.1,23650,November
14-11-2024,10:15:00,23615.9,23600,November
14-11-2024,10:30:00,23599.45,23600,November
14-11-2024,10:45:00,23572.25,23550,November
14-11-2024,11:00:00,23554.05,23550,November
14-11-2024,11:15:00,23493.85,23500,November
14-11-2024,11:30:00,23501.65,23500,November
14-11-2024,11:45:00,23518.2,23500,November
14-11-2024,12:00:00,23528.6,23550,November
14-11-2024,12:15:00,23555.45,23550,November
14-11-2024,12:30:00,23528.55,23550,November
14-11-2024,12:45:00,23522.65,23500,November
14-11-2024,13:00:00,23540.7,23550,November
14-11-2024,13:15:00,23556.4,23550,November
14-11-2024,13:30:00,23552.55,23550,November
14-11-2024,13:45:00,23524.05,23500,November
14-11-2024,14:00:00,23539.05,23550,November
14-11-2024,14:15:00,23549.1,23550,November
14-11-2024,14:30:00,23540.1,23550,November
14-11-2024,14:45:00,23530.15,23550,November
18-11-2024,09:45:00,23374.85,23350,November
18-11-2024,10:00:00,23415.6,23400,November
18-11-2024,10:15:00,23435.15,23450,November
18-11-2024,10:30:00,23409.95,23400,November
18-11-2024,10:45:00,23379.9,23400,November
18-11-2024,11:00:00,23405.05,23400,November
18-11-2024,11:15:00,23386.4,23400,November
18-11-2024,11:30:00,23419.0,23400,November
18-11-2024,11:45:00,23440.75,23450,November
18-11-2024,12:00:00,23459.2,23450,November
18-11-2024,12:15:00,23474.95,23450,November
18-11-2024,12:30:00,23558.65,23550,November
18-11-2024,12:45:00,23524.5,23500,November
18-11-2024,13:00:00,23487.2,23500,November
18-11-2024,13:15:00,23484.4,23500,November
18-11-2024,13:30:00,23465.55,23450,November
18-11-2024,13:45:00,23468.1,23450,November
18-11-2024,14:00:00,23497.7,23500,November
18-11-2024,14:15:00,23475.45,23500,November
18-11-2024,14:30:00,23444.4,23450,November
18-11-2024,14:45:00,23439.9,23450,November
19-11-2024,09:45:00,23706.25,23700,November
19-11-2024,10:00:00,23692.2,23700,November
19-11-2024,10:15:00,23686.3,23700,November
19-11-2024,10:30:00,23741.85,23750,November
19-11-2024,10:45:00,23713.2,23700,November
19-11-2024,11:00:00,23728.55,23750,November
19-11-2024,11:15:00,23732.4,23750,November
19-11-2024,11:30:00,23760.95,23750,November
19-11-2024,11:45:00,23771.1,23750,November
19-11-2024,12:00:00,23753.55,23750,November
19-11-2024,12:15:00,23754.8,23750,November
19-11-2024,12:30:00,23745.3,23750,November
19-11-2024,12:45:00,23725.75,23750,November
19-11-2024,13:00:00,23755.25,23750,November
19-11-2024,13:15:00,23760.4,23750,November
19-11-2024,13:30:00,23752.45,23750,November
19-11-2024,13:45:00,23755.9,23750,November
19-11-2024,14:00:00,23762.7,23750,November
19-11-2024,14:15:00,23713.45,23700,November
19-11-2024,14:30:00,23693.45,23700,November
19-11-2024,14:45:00,23716.2,23700,November
21-11-2024,09:45:00,23340.85,23350,November
21-11-2024,10:00:00,23303.4,23300,November
21-11-2024,10:15:00,23309.9,23300,November
21-11-2024,10:30:00,23333.1,23350,November
21-11-2024,10:45:00,23311.2,23300,November
21-11-2024,11:00:00,23325.1,23350,November
21-11-2024,11:15:00,23337.85,23350,November
21-11-2024,11:30:00,23338.25,23350,November
21-11-2024,11:45:00,23344.05,23350,November
21-11-2024,12:00:00,23360.5,23350,November
21-11-2024,12:15:00,23352.45,23350,November
21-11-2024,12:30:00,23347.9,23350,November
21-11-2024,12:45:00,23347.0,23350,November
21-11-2024,13:00:00,23314.65,23300,November
21-11-2024,13:15:00,23339.45,23350,November
21-11-2024,13:30:00,23349.95,23350,November
21-11-2024,13:45:00,23340.75,23350,November
21-11-2024,14:00:00,23345.75,23350,November
21-11-2024,14:15:00,23338.55,23350,November
21-11-2024,14:30:00,23337.7,23350,November
21-11-2024,14:45:00,23340.95,23350,November
22-11-2024,09:45:00,23474.3,23450,November
22-11-2024,10:00:00,23494.75,23500,November
22-11-2024,10:15:00,23571.35,23550,November
22-11-2024,10:30:00,23566.8,23550,November
22-11-2024,10:45:00,23526.2,23550,November
22-11-2024,11:00:00,23538.55,23550,November
22-11-2024,11:15:00,23538.25,23550,November
22-11-2024,11:30:00,23533.6,23550,November
22-11-2024,11:45:00,23565.0,23550,November
22-11-2024,12:00:00,23585.8,23600,November
22-11-2024,12:15:00,23639.25,23650,November
22-11-2024,12:30:00,23640.0,23650,November
22-11-2024,12:45:00,23673.0,23650,November
22-11-2024,13:00:00,23695.4,23700,November
22-11-2024,13:15:00,23702.7,23700,November
22-11-2024,13:30:00,23692.6,23700,November
22-11-2024,13:45:00,23733.4,23750,November
22-11-2024,14:00:00,23820.65,23800,November
22-11-2024,14:15:00,23845.15,23850,November
22-11-2024,14:30:00,23844.95,23850,November
22-11-2024,14:45:00,23844.85,23850,November
25-11-2024,09:45:00,24283.65,24300,November
25-11-2024,10:00:00,24298.95,24300,November
25-11-2024,10:15:00,24269.95,24250,November
25-11-2024,10:30:00,24324.2,24300,November
25-11-2024,10:45:00,24315.4,24300,November
25-11-2024,11:00:00,24316.9,24300,November
25-11-2024,11:15:00,24336.6,24350,November
25-11-2024,11:30:00,24329.7,24350,November
25-11-2024,11:45:00,24296.5,24300,November
25-11-2024,12:00:00,24282.0,24300,November
25-11-2024,12:15:00,24307.5,24300,November
25-11-2024,12:30:00,24281.05,24300,November
25-11-2024,12:45:00,24285.65,24300,November
25-11-2024,13:00:00,24156.4,24150,November
25-11-2024,13:15:00,24193.55,24200,November
25-11-2024,13:30:00,24205.9,24200,November
25-11-2024,13:45:00,24172.65,24150,November
25-11-2024,14:00:00,24172.9,24150,November
25-11-2024,14:15:00,24203.75,24200,November
25-11-2024,14:30:00,24204.55,24200,November
25-11-2024,14:45:00,24256.65,24250,November
26-11-2024,09:45:00,24255.3,24250,November
26-11-2024,10:00:00,24222.3,24200,November
26-11-2024,10:15:00,24220.05,24200,November
26-11-2024,10:30:00,24204.4,24200,November
26-11-2024,10:45:00,24217.95,24200,November
26-11-2024,11:00:00,24217.6,24200,November
26-11-2024,11:15:00,24203.95,24200,November
26-11-2024,11:30:00,24200.7,24200,November
26-11-2024,11:45:00,24223.7,24200,November
26-11-2024,12:00:00,24196.1,24200,November
26-11-2024,12:15:00,24186.7,24200,November
26-11-2024,12:30:00,24142.55,24150,November
26-11-2024,12:45:00,24167.6,24150,November
26-11-2024,13:00:00,24169.95,24150,November
26-11-2024,13:15:00,24166.85,24150,November
26-11-2024,13:30:00,24159.6,24150,November
26-11-2024,13:45:00,24150.75,24150,November
26-11-2024,14:00:00,24184.05,24200,November
26-11-2024,14:15:00,24185.3,24200,November
26-11-2024,14:30:00,24186.1,24200,November
26-11-2024,14:45:00,24222.5,24200,November
27-11-2024,09:45:00,24181.75,24200,November
27-11-2024,10:00:00,24197.95,24200,November
27-11-2024,10:15:00,24196.35,24200,November
27-11-2024,10:30:00,24179.85,24200,November
27-11-2024,10:45:00,24191.25,24200,November
27-11-2024,11:00:00,24193.0,24200,November
27-11-2024,11:15:00,24191.15,24200,November
27-11-2024,11:30:00,24203.7,24200,November
27-11-2024,11:45:00,24198.0,24200,November
27-11-2024,12:00:00,24212.35,24200,November
27-11-2024,12:15:00,24210.55,24200,November
27-11-2024,12:30:00,24257.0,24250,November
27-11-2024,12:45:00,24289.4,24300,November
27-11-2024,13:00:00,24311.25,24300,November
27-11-2024,13:15:00,24321.1,24300,November
27-11-2024,13:30:00,24308.75,24300,November
27-11-2024,13:45:00,24332.8,24350,November
27-11-2024,14:00:00,24310.1,24300,November
27-11-2024,14:15:00,24287.2,24300,November
27-11-2024,14:30:00,24307.35,24300,November
27-11-2024,14:45:00,24284.55,24300,November
28-11-2024,09:45:00,24268.9,24250,November
28-11-2024,10:00:00,24312.45,24300,November
28-11-2024,10:15:00,24324.8,24300,November
28-11-2024,10:30:00,24299.3,24300,November
28-11-2024,10:45:00,24120.65,24100,November
28-11-2024,11:00:00,24115.0,24100,November
28-11-2024,11:15:00,24089.9,24100,November
28-11-2024,11:30:00,24054.3,24050,November
28-11-2024,11:45:00,24074.05,24050,November
28-11-2024,12:00:00,24058.6,24050,November
28-11-2024,12:15:00,24078.55,24100,November
28-11-2024,12:30:00,24083.15,24100,November
28-11-2024,12:45:00,24026.4,24050,November
28-11-2024,13:00:00,24001.65,24000,November
