month,date,pair_trades,day_pnl,winning_pairs,losing_pairs,pair_stoploss_exits,max_loss_exits,forced_1459_exits,,,,cost of single trade ,,total trades,,total cost =,,pnl,final pnl
May,3/5/2024,16,-49999.99,1,15,4,12,0,,,,,,,,,,,
May,6/5/2024,21,33217.5,21,0,0,0,21,,,,,,,,,,,
May,7/5/2024,21,29017.5,19,2,1,0,20,,,,,,,,,,,
May,8/5/2024,21,15877.5,16,5,5,0,16,,,,,,,,,,,
May,9/5/2024,21,-16957.5,7,14,14,0,7,,,,,,,,,,,
May,10/5/2024,21,29850,19,2,0,0,21,,,,,,,,,,,
May,13-05-2024,17,-50000,2,15,1,16,0,,,,,,,,,,,
May,14-05-2024,21,22312.5,21,0,0,0,21,,,,,,,,,,,
May,15-05-2024,21,35797.5,20,1,1,0,20,,,,,,,,,,,
May,16-05-2024,21,-50000,1,20,20,1,0,,,,,,,,,,,
May,17-05-2024,21,29107.5,21,0,0,0,21,,,,,,,,,,,
May,21-05-2024,21,14730,16,5,0,0,21,,,,,,,,,,,
May,22-05-2024,21,31665,19,2,0,0,21,,,,,,,,,,,
May,23-05-2024,21,-29475,7,14,14,0,7,,,,,,,,,,,
May,24-05-2024,21,28612.5,21,0,0,0,21,,,,,,,,,,,
May,27-05-2024,21,7462.5,15,6,0,0,21,,,,,,,,,,,
May,28-05-2024,21,30697.5,21,0,0,0,21,,,,,,,,,,,
May,29-05-2024,21,45285,20,1,0,0,21,,,,,,,,,,,
May,30-05-2024,21,2370,9,12,6,0,15,,,,,,,,,,,
May,31-05-2024,16,-49999.99,0,16,0,16,0,,,,,,,,,,,
June,3/6/2024,16,-50000,0,16,0,16,0,,,,,,,,,,,
June,4/6/2024,5,-49999.99,1,4,0,5,0,,,,,,,,,,,
June,5/6/2024,6,-50000,0,6,0,6,0,,,,,,,,,,,
June,6/6/2024,21,65677.5,13,8,8,0,13,,,,,,,,,,,
June,7/6/2024,9,-49999.98,0,9,0,9,0,,,,,,,,,,,
June,10/6/2024,21,57322.5,19,2,0,0,21,,,,,,,,,,,
June,11/6/2024,21,53527.5,21,0,0,0,21,,,,,,,,,,,
June,12/6/2024,21,27480,19,2,0,0,21,,,,,,,,,,,
June,13-06-2024,21,26835,21,0,0,0,21,,,,,,,,,,,
June,14-06-2024,21,10710,16,5,0,0,21,,,,,,,,,,,
June,18-06-2024,21,4222.5,12,9,0,0,21,,,,,,,,,,,
June,19-06-2024,20,-50000,0,20,8,12,0,,,,,,,,,,,
June,20-06-2024,21,31320,13,8,8,0,13,,,,,,,,,,,
June,21-06-2024,20,-50000,0,20,4,16,0,,,,,,,,,,,
June,24-06-2024,21,6000,14,7,0,0,21,,,,,,,,,,,
June,25-06-2024,21,-38370,6,15,10,0,11,,,,,,,,,,,
June,26-06-2024,21,3202.5,16,5,3,0,18,,,,,,,,,,,
June,27-06-2024,21,-4102.5,9,12,12,0,9,,,,,,,,,,,
June,28-06-2024,21,47032.5,21,0,0,0,21,,,,,,,,,,,
July,1/7/2024,21,14182.5,17,3,0,0,21,,,,,,,,,,,
July,2/7/2024,21,22927.5,20,1,0,0,21,,,,,,,,,,,
July,3/7/2024,21,27202.5,21,0,0,0,21,,,,,,,,,,,
July,4/7/2024,21,8565,17,4,4,0,17,,,,,,,,,,,
July,5/7/2024,21,11362.5,18,3,0,0,21,,,,,,,,,,,
July,8/7/2024,21,9532.5,17,3,0,0,21,,,,,,,,,,,
July,9/7/2024,21,3427.5,14,7,0,0,21,,,,,,,,,,,
July,10/7/2024,21,3892.5,17,4,3,0,18,,,,,,,,,,,
July,11/7/2024,21,2775,14,7,7,0,14,,,,,,,,,,,
July,12/7/2024,21,-16410,15,6,5,0,16,,,,,,,,,,,
July,15-07-2024,21,14685,20,1,0,0,21,,,,,,,,,,,
July,16-07-2024,21,18892.5,21,0,0,0,21,,,,,,,,,,,
July,18-07-2024,21,-25057.5,4,17,17,0,4,,,,,,,,,,,
July,19-07-2024,21,-50000,0,21,0,21,0,,,,,,,,,,,
July,22-07-2024,21,6562.5,12,9,0,0,21,,,,,,,,,,,
July,23-07-2024,11,-50000,0,11,0,11,0,,,,,,,,,,,
July,24-07-2024,21,31522.5,15,6,5,0,16,,,,,,,,,,,
July,25-07-2024,21,30247.5,21,0,0,0,21,,,,,,,,,,,
July,26-07-2024,14,-49999.99,0,14,1,13,0,,,,,,,,,,,
July,29-07-2024,19,-49999.99,1,18,5,14,0,,,,,,,,,,,
July,30-07-2024,21,14565,18,3,0,0,21,,,,,,,,,,,
July,31-07-2024,21,16117.5,18,3,0,0,21,,,,,,,,,,,
August,1/8/2024,21,20250,20,1,1,0,20,,,,,,,,,,,
August,2/8/2024,21,-34590,2,19,0,0,21,,,,,,,,,,,
August,5/8/2024,6,-50000,0,6,3,3,0,,,,,,,,,,,
August,6/8/2024,16,-50000,1,15,2,14,0,,,,,,,,,,,
August,7/8/2024,21,41325,19,2,0,0,21,,,,,,,,,,,
August,8/8/2024,21,51000,13,8,8,0,13,,,,,,,,,,,
August,9/8/2024,21,21930,16,5,0,0,21,,,,,,,,,,,
August,12/8/2024,21,-18435,7,14,3,0,18,,,,,,,,,,,
August,13-08-2024,18,-50000,0,18,15,3,0,,,,,,,,,,,
August,14-08-2024,21,18600,21,0,0,0,21,,,,,,,,,,,
August,16-08-2024,17,-50000,0,17,1,16,0,,,,,,,,,,,
August,19-08-2024,21,26520,21,0,0,0,21,,,,,,,,,,,
August,20-08-2024,21,14842.5,17,4,0,0,21,,,,,,,,,,,
August,21-08-2024,21,27157.5,21,0,0,0,21,,,,,,,,,,,
August,22-08-2024,21,11730,19,2,2,0,19,,,,,,,,,,,
August,23-08-2024,21,-10350,2,19,0,0,21,,,,,,,,,,,
August,26-08-2024,21,8115,19,2,0,0,21,,,,,,,,,,,
August,27-08-2024,21,4762.5,11,10,0,0,21,,,,,,,,,,,
August,28-08-2024,21,-18915,6,15,9,0,12,,,,,,,,,,,
August,29-08-2024,21,-35100,0,21,21,0,0,,,,,,,,,,,
August,30-08-2024,21,12015,19,2,0,0,21,,,,,,,,,,,
September,2/9/2024,21,11250,21,0,0,0,21,,,,,,,,,,,
